hash_order_id,order_created_at,hash_placement_id,order_status_code,order_status_code_changed_at,GMV,reward_author,,
6B86B273FF34FCE19D6B804EFF5A3F5747ADA4EAA22F1D49C01E52DDB7875B4B,2024-12-18 11:00:00+03:00,,5,2025-01-04 18:00:00+03:00,2183.0,546.0,,
D4735E3A265E16EEE03F59718B9B5D03019C07D8B6C51F90DA3A666EEC13AB35,2024-12-29 08:00:00+03:00,,5,2025-01-27 16:00:00+03:00,1485.0,149.0,,
4E07408562BEDB8B60CE05C1DECFE3AD16B72230967DE01F640B7E4729B49FCE,2024-12-26 10:00:00+03:00,,5,2025-01-13 15:00:00+03:00,5700.0,570.0,,
4B227777D4DD1FC61C6F884F48641D02B4D121D3FD328CB08B5531FCACDABF8A,2024-12-18 20:00:00+03:00,,5,2025-01-04 15:00:00+03:00,6444.0,2578.0,,
EF2D127DE37B942BAAD06145E54B0C619A1F22327B2EBBCFBEC78F5564AFE39D,2024-12-13 20:00:00+03:00,,5,2024-12-29 20:00:00+03:00,2531.0,253.0,,
E7F6C011776E8DB7CD330B54174FD76F7D0216B612387A5FFCFB81E6F0919683,2024-12-06 19:00:00+03:00,,5,2025-01-03 16:00:00+03:00,2927.0,293.0,,
7902699BE42C8A8E46FBBB4501726517E86B22C56A189F7625A6DA49081B2451,2024-12-06 19:00:00+03:00,,3,2025-01-10 17:00:00+03:00,2927.0,293.0,,
2C624232CDD221771294DFBB310ACA000A0DF6AC8B66B696D90EF06FDEFB64A3,2024-12-06 19:00:00+03:00,,3,2025-01-10 17:00:00+03:00,2927.0,293.0,,
19581E27DE7CED00FF1CE50B2047E7A567C76B1CBAEBABE5EF03F7C3017BB5B7,2024-12-06 19:00:00+03:00,,3,2025-01-10 17:00:00+03:00,2927.0,293.0,,
4A44DC15364204A80FE80E9039455CC1608281820FE2B24F1E5233ADE6AF1DD5,2024-12-06 19:00:00+03:00,,3,2025-01-10 17:00:00+03:00,2927.0,293.0,,
4FC82B26AECB47D2868C4EFBE3581732A3E7CBCC6C2EFB32062C08170A05EEB8,2024-12-06 19:00:00+03:00,,3,2025-01-10 17:00:00+03:00,2927.0,293.0,,
6B51D431DF5D7F141CBECECCF79EDF3DD861C3B4069F0B11661A3EEFACBBA918,2024-12-06 19:00:00+03:00,,3,2025-01-10 17:00:00+03:00,2927.0,293.0,,
3FDBA35F04DC8C462986C992BCF875546257113072A909C162F7E470E581E278,,,3,2025-01-10 17:00:00+03:00,2583.0,258.0,,
8527A891E224136950FF32CA212B45BC93F69FBB801C3B1EBEDAC52775F99E61,2024-12-05 13:00:00+03:00,,3,2025-01-10 17:00:00+03:00,2454.0,245.0,,
E629FA6598D732768F7C726B4B621285F9C3B85303900AA912017DB7617D8BDB,2024-12-05 22:00:00+03:00,,3,2025-01-10 17:00:00+03:00,3814.0,381.0,,
B17EF6D19C7A5B1EE83B907C595526DCB1EB06DB8227D650D5DDA0A9F4CE8CD9,2024-12-05 22:00:00+03:00,,3,2025-01-10 17:00:00+03:00,3814.0,381.0,,
4523540F1504CD17100C4835E85B7EEFD49911580F8EFFF0599A8F283BE6B9E3,2024-12-05 22:00:00+03:00,,3,2025-01-10 17:00:00+03:00,3814.0,381.0,,
4EC9599FC203D176A301536C2E091A19BC852759B255BD6818810A42C5FED14A,2025-01-08 21:00:00+03:00,,3,2025-01-10 17:00:00+03:00,3758.0,451.0,,
9400F1B21CB527D7FA3D3EABBA93557A18EBE7A2CA4E471CFE5E4C5B4CA7F767,2025-01-21 21:00:00+03:00,,5,2025-02-10 19:00:00+03:00,4537.0,2269.0,,
F5CA38F748A1D6EAF726B8A42FB575C3C71F1864A8143301782DE13DA2D9202B,2025-01-21 22:00:00+03:00,,3,2025-01-21 23:00:00+03:00,4537.0,2269.0,,
6F4B6612125FB3A0DAECD2799DFD6C9C299424FD920F9B308110A2C1FBD8F443,2025-01-22 10:00:00+03:00,,5,2025-02-07 20:00:00+03:00,2372.0,237.0,,
785F3EC7EB32F30B90CD0FCF3657D388B5FF4297F2F9716FF66E9B69C05DDD09,2025-01-26 10:00:00+03:00,,5,2025-02-18 17:00:00+03:00,3353.0,1006.0,,
535FA30D7E25DD8A49F1536779734EC8286108D115DA5045D77F3B4185D8F790,2025-01-26 15:00:00+03:00,,5,2025-02-13 18:00:00+03:00,5187.0,1037.0,,
C2356069E9D1E79CA924378153CFBBFB4D4416B1F99D41A2940BFDB66C5319DB,2025-01-31 21:00:00+03:00,,5,2025-02-17 15:00:00+03:00,3917.0,1959.0,,
B7A56873CD771F2C446D369B649430B65A756BA278FF97EC81BB6F55B2E73569,2025-02-02 12:00:00+03:00,,5,2025-02-20 15:00:00+03:00,1873.0,936.0,,
5F9C4AB08CAC7457E9111A30E4664920607EA2C115A1433D7BE98E97E64244CA,2025-02-02 17:00:00+03:00,,3,2025-02-20 00:00:00+03:00,1873.0,936.0,,
670671CD97404156226E507973F2AB8330D3022CA96E0C93BDBDB320C41ADCAF,2025-02-03 22:00:00+03:00,,5,2025-02-19 16:00:00+03:00,3018.0,302.0,,
59E19706D51D39F66711C2653CD7EB1291C94D9B55EB14BDA74CE4DC636D015A,2025-02-04 18:00:00+03:00,,3,2025-02-04 19:00:00+03:00,2238.0,224.0,,
