hash_placement_id,views,clicks
41ADEFA80327159BA20BE23D357D1A7EE5C0BFD399AFF792EFA58AC2CF8BB349,31349.0,13.0
92EB08D9EB9F5627EADEC1E4FBD790A721A873566D8E68C55FC7D529B9FE0603,40799.0,3.0
B70C6847813BC428F787F75A0CF985DC5D57B0EBDB95ACB3E1EEF17995A67C59,9519.0,2.0
D15FEF60F234013F1EBA84E4B7B9F1D66E4592B498F4F1CCB8A6359FE49E1647,84202.0,17.0
08B4AD5D3AF17E7DE43B9EC80F25605D2E226CF1B68F37FF6039D3EC37E4D5EA,1040.0,1.0
5C90E566C49B709713149AECE12CD518E596F3510F49B48C807154B06EEE9F20,10017.0,0.0
079729A5A6753D2E0BBACD74B4DA62B921D0B00B04F6D3E3C35FA24FC64133CA,42813.0,0.0
ACA8399739D4F123D7C54CBA94470702F6A8C68F7AECF85B1EA0601507741DC6,231575.0,15.0
F536FE5871FE49ABBE885F2CB305BA277A0681ED47245CFE6F4484FB5AF92329,3317.0,0.0
02554C82703A1AD75CF9B2AE5E697502C370EC8A8D823E36E7999323FE54C1E6,5877.0,1.0
9218C3DBC69F35BF6E41CF11249D6875E9A202509AD8B1BBAE1A6B5355B210E9,9695.0,1.0
D6006D27491276C66A74FCA5BCD27B384C541D89327619021E0598C0B7FDC409,42952.0,1.0
97F612DA75AF19F8E3E60862F90CC26D5F4D4D5730CDB25C9D3B933943C00B68,11215.0,10.0
EE7A33787C9D188662F7EABBC2613F85A6993D1564EAEB56121A19159F742377,14559.0,9.0
C8BA67E273368618B2009284CD043472B6597E2985E439D6F9BCBB58EB852B9E,28017.0,0.0
A0EB8E79C62DAB16D8446D10C9859C9664D49BE73C745E6EF02F8EDC30591F75,54687.0,4.0
492A70C75873387BF1C166D4A99B97575ACE22ADE46FFB8BA9A23475D8C79C70,17150.0,0.0
C8ECD882A619E4FA16ACEA2E2670FAA73470CA12CFC25E3A62627B289297C1FE,20705.0,12.0
2D0840703C98C227F79A3C258949896AC5F076D99E39BC156D6E5A1F641D7AA9,11560.0,0.0
2E02D23229D08EA8277EB905A62619EAA1BC0C2D4B883A7B909CF70BF479D4C8,7151.0,2.0
10ACB87B3040F4E177781CE677D7B30554CB20E93E2BBB1470B0E944FB63FAF2,18642.0,3.0
6A5473B286181C4472E55C0EDA64E9986B49679E0D7DB3558432C200D60DC53A,9622.0,0.0
81DEC65A5098499ABF1F76500A52630B7BE9314B1E2A6775891A71C2963F5D71,38496.0,62.0
1A67E085C67B211D4D8BDAC8CF081A9AFA5A81D878A5E6DC7E26BA7ACAECF702,15851.0,3.0
34079C88CE637A0EB2931302DB38E3DC0A958A40AD83553069E20A8579FA6691,19092.0,23.0
BDC0964DF41213799233A584BA38F2EB369374D79FF54CC0F28C4159469AF3DB,917.0,0.0
FB700F4748E58BA5CAA0B263182CD1D230722442285B04FE8D1A19D6833F3B11,41992.0,0.0
C304A87B43AB7AB9410EBF60B538C971E300A04507DE94B8053FF24167A8F2F1,20096.0,2.0
D832216702C11D0191E5F1EA288F17DB7A23BED7FF0B5CE83891FA8165285520,62460.0,2.0
9A7FA38C44747D4D3C1EBEA8DA8D1AAE564E8C3F9681589E893B55877E1DCA3E,19464.0,18.0
